"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"05","Arkansas","05001480100","Arkansas County, AR - 05001480100","2021","0.78","",
"05","Arkansas","05001480200","Arkansas County, AR - 05001480200","2021","0.74","",
"05","Arkansas","05001480300","Arkansas County, AR - 05001480300","2021","0.69","",
"05","Arkansas","05001480400","Arkansas County, AR - 05001480400","2021","0.73","",
"05","Arkansas","05001480500","Arkansas County, AR - 05001480500","2021","0.65","",
"05","Arkansas","05001480600","Arkansas County, AR - 05001480600","2021","0.77","",
"05","Arkansas","05001480700","Arkansas County, AR - 05001480700","2021","0.78","",
"05","Arkansas","05001480800","Arkansas County, AR - 05001480800","2021","0.76","",
"05","Arkansas","05003960100","Ashley County, AR - 05003960100","2021","0.76","",
"05","Arkansas","05003960200","Ashley County, AR - 05003960200","2021","0.72","",
"05","Arkansas","05003960300","Ashley County, AR - 05003960300","2021","0.74","",
"05","Arkansas","05003960400","Ashley County, AR - 05003960400","2021","0.75","",
"05","Arkansas","05003960500","Ashley County, AR - 05003960500","2021","0.72","",
"05","Arkansas","05003960600","Ashley County, AR - 05003960600","2021","0.70","",
"05","Arkansas","05003960700","Ashley County, AR - 05003960700","2021","0.68","",
"05","Arkansas","05005950100","Baxter County, AR - 05005950100","2021","0.70","",
"05","Arkansas","05005950200","Baxter County, AR - 05005950200","2021","0.68","",
"05","Arkansas","05005950300","Baxter County, AR - 05005950300","2021","0.69","",
"05","Arkansas","05005950400","Baxter County, AR - 05005950400","2021","0.68","",
"05","Arkansas","05005950500","Baxter County, AR - 05005950500","2021","0.75","",
"05","Arkansas","05005950600","Baxter County, AR - 05005950600","2021","0.66","",
"05","Arkansas","05005950700","Baxter County, AR - 05005950700","2021","0.67","",
"05","Arkansas","05005950800","Baxter County, AR - 05005950800","2021","0.71","",
"05","Arkansas","05005950900","Baxter County, AR - 05005950900","2021","0.72","",
"05","Arkansas","05007020101","Benton County, AR - 05007020101","2021","0.76","",
"05","Arkansas","05007020102","Benton County, AR - 05007020102","2021","0.74","",
"05","Arkansas","05007020201","Benton County, AR - 05007020201","2021","0.64","",
"05","Arkansas","05007020203","Benton County, AR - 05007020203","2021","0.73","",
"05","Arkansas","05007020205","Benton County, AR - 05007020205","2021","0.72","",
"05","Arkansas","05007020206","Benton County, AR - 05007020206","2021","0.55","",
"05","Arkansas","05007020301","Benton County, AR - 05007020301","2021","0.51","",
"05","Arkansas","05007020302","Benton County, AR - 05007020302","2021","0.56","",
"05","Arkansas","05007020304","Benton County, AR - 05007020304","2021","0.64","",
"05","Arkansas","05007020305","Benton County, AR - 05007020305","2021","0.55","",
"05","Arkansas","05007020401","Benton County, AR - 05007020401","2021","0.60","",
"05","Arkansas","05007020402","Benton County, AR - 05007020402","2021","0.56","",
"05","Arkansas","05007020404","Benton County, AR - 05007020404","2021","0.60","",
"05","Arkansas","05007020405","Benton County, AR - 05007020405","2021","0.54","",
"05","Arkansas","05007020501","Benton County, AR - 05007020501","2021","0.64","",
"05","Arkansas","05007020503","Benton County, AR - 05007020503","2021","0.48","",
"05","Arkansas","05007020504","Benton County, AR - 05007020504","2021","0.47","",
"05","Arkansas","05007020603","Benton County, AR - 05007020603","2021","0.60","",
"05","Arkansas","05007020604","Benton County, AR - 05007020604","2021","0.53","",
"05","Arkansas","05007020605","Benton County, AR - 05007020605","2021","0.65","",
"05","Arkansas","05007020606","Benton County, AR - 05007020606","2021","0.67","",
"05","Arkansas","05007020701","Benton County, AR - 05007020701","2021","0.73","",
"05","Arkansas","05007020703","Benton County, AR - 05007020703","2021","0.71","",
"05","Arkansas","05007020704","Benton County, AR - 05007020704","2021","0.74","",
"05","Arkansas","05007020801","Benton County, AR - 05007020801","2021","0.70","",
"05","Arkansas","05007020803","Benton County, AR - 05007020803","2021","0.71","",
"05","Arkansas","05007020805","Benton County, AR - 05007020805","2021","0.71","",
"05","Arkansas","05007020806","Benton County, AR - 05007020806","2021","0.73","",
"05","Arkansas","05007020901","Benton County, AR - 05007020901","2021","0.58","",
"05","Arkansas","05007020902","Benton County, AR - 05007020902","2021","0.75","",
"05","Arkansas","05007021001","Benton County, AR - 05007021001","2021","0.75","",
