"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"09","Connecticut","09001010101","Fairfield County, CT - 09001010101","2021","0.79","",
"09","Connecticut","09001010102","Fairfield County, CT - 09001010102","2021","0.78","",
"09","Connecticut","09001010201","Fairfield County, CT - 09001010201","2021","0.76","",
"09","Connecticut","09001010202","Fairfield County, CT - 09001010202","2021","0.78","",
"09","Connecticut","09001010300","Fairfield County, CT - 09001010300","2021","0.75","",
"09","Connecticut","09001010400","Fairfield County, CT - 09001010400","2021","0.67","",
"09","Connecticut","09001010500","Fairfield County, CT - 09001010500","2021","0.54","",
"09","Connecticut","09001010600","Fairfield County, CT - 09001010600","2021","0.43","",
"09","Connecticut","09001010700","Fairfield County, CT - 09001010700","2021","0.67","",
"09","Connecticut","09001010800","Fairfield County, CT - 09001010800","2021","0.58","",
"09","Connecticut","09001010900","Fairfield County, CT - 09001010900","2021","0.67","",
"09","Connecticut","09001011000","Fairfield County, CT - 09001011000","2021","0.39","",
"09","Connecticut","09001011100","Fairfield County, CT - 09001011100","2021","0.52","",
"09","Connecticut","09001011200","Fairfield County, CT - 09001011200","2021","0.40","",
"09","Connecticut","09001011300","Fairfield County, CT - 09001011300","2021","0.21","",
"09","Connecticut","09001020100","Fairfield County, CT - 09001020100","2021","0.29","",
"09","Connecticut","09001020200","Fairfield County, CT - 09001020200","2021","0.79","",
"09","Connecticut","09001020300","Fairfield County, CT - 09001020300","2021","0.78","",
"09","Connecticut","09001020400","Fairfield County, CT - 09001020400","2021","0.76","",
"09","Connecticut","09001020500","Fairfield County, CT - 09001020500","2021","0.76","",
"09","Connecticut","09001020600","Fairfield County, CT - 09001020600","2021","0.68","",
"09","Connecticut","09001020700","Fairfield County, CT - 09001020700","2021","0.72","",
"09","Connecticut","09001020800","Fairfield County, CT - 09001020800","2021","0.69","",
"09","Connecticut","09001020900","Fairfield County, CT - 09001020900","2021","0.60","",
"09","Connecticut","09001021000","Fairfield County, CT - 09001021000","2021","0.60","",
"09","Connecticut","09001021100","Fairfield County, CT - 09001021100","2021","0.53","",
"09","Connecticut","09001021200","Fairfield County, CT - 09001021200","2021","0.64","",
"09","Connecticut","09001021300","Fairfield County, CT - 09001021300","2021","0.63","",
"09","Connecticut","09001021400","Fairfield County, CT - 09001021400","2021","0.44","",
