"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"49","Utah","49001100100","Beaver County, UT - 49001100100","2021","0.39","",
"49","Utah","49001100200","Beaver County, UT - 49001100200","2021","0.26","",
"49","Utah","49003960100","Box Elder County, UT - 49003960100","2021","0.21","",
"49","Utah","49003960200","Box Elder County, UT - 49003960200","2021","0.53","",
"49","Utah","49003960300","Box Elder County, UT - 49003960300","2021","0.61","",
"49","Utah","49003960400","Box Elder County, UT - 49003960400","2021","0.38","",
"49","Utah","49003960500","Box Elder County, UT - 49003960500","2021","0.29","",
"49","Utah","49003960601","Box Elder County, UT - 49003960601","2021","0.43","",
"49","Utah","49003960602","Box Elder County, UT - 49003960602","2021","0.47","",
"49","Utah","49003960701","Box Elder County, UT - 49003960701","2021","0.46","",
"49","Utah","49003960702","Box Elder County, UT - 49003960702","2021","0.45","",
"49","Utah","49003960801","Box Elder County, UT - 49003960801","2021","0.45","",
"49","Utah","49003960802","Box Elder County, UT - 49003960802","2021","0.53","",
"49","Utah","49005000101","Cache County, UT - 49005000101","2021","0.63","",
"49","Utah","49005000102","Cache County, UT - 49005000102","2021","0.52","",
"49","Utah","49005000201","Cache County, UT - 49005000201","2021","0.69","",
"49","Utah","49005000202","Cache County, UT - 49005000202","2021","0.52","",
"49","Utah","49005000300","Cache County, UT - 49005000300","2021","0.57","",
"49","Utah","49005000401","Cache County, UT - 49005000401","2021","0.48","",
"49","Utah","49005000402","Cache County, UT - 49005000402","2021","0.52","",
"49","Utah","49005000403","Cache County, UT - 49005000403","2021","0.55","",
"49","Utah","49005000501","Cache County, UT - 49005000501","2021","0.39","",
"49","Utah","49005000502","Cache County, UT - 49005000502","2021","0.42","",
"49","Utah","49005000600","Cache County, UT - 49005000600","2021","0.38","",
"49","Utah","49005000701","Cache County, UT - 49005000701","2021","0.48","",
"49","Utah","49005000702","Cache County, UT - 49005000702","2021","0.41","",
"49","Utah","49005000800","Cache County, UT - 49005000800","2021","0.44","",
"49","Utah","49005000900","Cache County, UT - 49005000900","2021","0.50","",
"49","Utah","49005001001","Cache County, UT - 49005001001","2021","0.50","",
"49","Utah","49005001002","Cache County, UT - 49005001002","2021","0.48","",
"49","Utah","49005001101","Cache County, UT - 49005001101","2021","0.49","",
"49","Utah","49005001102","Cache County, UT - 49005001102","2021","0.50","",
"49","Utah","49005001201","Cache County, UT - 49005001201","2021","0.54","",
