"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"42","Pennsylvania","42001030101","Adams County, PA - 42001030101","2021","0.77","",
"42","Pennsylvania","42001030102","Adams County, PA - 42001030102","2021","0.77","",
"42","Pennsylvania","42001030200","Adams County, PA - 42001030200","2021","0.78","",
"42","Pennsylvania","42001030300","Adams County, PA - 42001030300","2021","0.79","",
"42","Pennsylvania","42001030400","Adams County, PA - 42001030400","2021","0.79","",
"42","Pennsylvania","42001030500","Adams County, PA - 42001030500","2021","0.77","",
"42","Pennsylvania","42001030600","Adams County, PA - 42001030600","2021","0.76","",
"42","Pennsylvania","42001030700","Adams County, PA - 42001030700","2021","0.78","",
"42","Pennsylvania","42001030800","Adams County, PA - 42001030800","2021","0.76","",
"42","Pennsylvania","42001030900","Adams County, PA - 42001030900","2021","0.68","",
"42","Pennsylvania","42001031000","Adams County, PA - 42001031000","2021","0.68","",
"42","Pennsylvania","42001031101","Adams County, PA - 42001031101","2021","0.54","",
"42","Pennsylvania","42001031102","Adams County, PA - 42001031102","2021","0.76","",
"42","Pennsylvania","42001031201","Adams County, PA - 42001031201","2021","0.77","",
"42","Pennsylvania","42001031202","Adams County, PA - 42001031202","2021","0.76","",
"42","Pennsylvania","42001031203","Adams County, PA - 42001031203","2021","0.79","",
"42","Pennsylvania","42001031300","Adams County, PA - 42001031300","2021","0.59","",
"42","Pennsylvania","42001031401","Adams County, PA - 42001031401","2021","0.75","",
"42","Pennsylvania","42001031402","Adams County, PA - 42001031402","2021","0.76","",
"42","Pennsylvania","42001031501","Adams County, PA - 42001031501","2021","0.57","",
"42","Pennsylvania","42001031502","Adams County, PA - 42001031502","2021","0.54","",
"42","Pennsylvania","42001031600","Adams County, PA - 42001031600","2021","0.77","",
"42","Pennsylvania","42001031700","Adams County, PA - 42001031700","2021","0.80","",
"42","Pennsylvania","42003010300","Allegheny County, PA - 42003010300","2021","0.26","",
"42","Pennsylvania","42003020100","Allegheny County, PA - 42003020100","2021","0.23","",
"42","Pennsylvania","42003020300","Allegheny County, PA - 42003020300","2021","0.26","",
