"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"47","Tennessee","47001020100","Anderson County, TN - 47001020100","2021","0.68","",
"47","Tennessee","47001020201","Anderson County, TN - 47001020201","2021","0.67","",
"47","Tennessee","47001020202","Anderson County, TN - 47001020202","2021","0.60","",
"47","Tennessee","47001020300","Anderson County, TN - 47001020300","2021","0.70","",
"47","Tennessee","47001020400","Anderson County, TN - 47001020400","2021","0.69","",
"47","Tennessee","47001020500","Anderson County, TN - 47001020500","2021","0.66","",
"47","Tennessee","47001020600","Anderson County, TN - 47001020600","2021","0.70","",
"47","Tennessee","47001020700","Anderson County, TN - 47001020700","2021","0.81","",
"47","Tennessee","47001020800","Anderson County, TN - 47001020800","2021","0.74","",
"47","Tennessee","47001020901","Anderson County, TN - 47001020901","2021","0.73","",
"47","Tennessee","47001020902","Anderson County, TN - 47001020902","2021","0.72","",
"47","Tennessee","47001021000","Anderson County, TN - 47001021000","2021","0.78","",
"47","Tennessee","47001021100","Anderson County, TN - 47001021100","2021","0.74","",
"47","Tennessee","47001021201","Anderson County, TN - 47001021201","2021","0.75","",
"47","Tennessee","47001021202","Anderson County, TN - 47001021202","2021","0.57","",
"47","Tennessee","47001021301","Anderson County, TN - 47001021301","2021","0.71","",
"47","Tennessee","47001021302","Anderson County, TN - 47001021302","2021","0.70","",
"47","Tennessee","47001980100","Anderson County, TN - 47001980100","2021","0.70","",
"47","Tennessee","47003950100","Bedford County, TN - 47003950100","2021","0.76","",
"47","Tennessee","47003950200","Bedford County, TN - 47003950200","2021","0.74","",
"47","Tennessee","47003950300","Bedford County, TN - 47003950300","2021","0.76","",
"47","Tennessee","47003950401","Bedford County, TN - 47003950401","2021","0.74","",
"47","Tennessee","47003950402","Bedford County, TN - 47003950402","2021","0.73","",
"47","Tennessee","47003950500","Bedford County, TN - 47003950500","2021","0.69","",
"47","Tennessee","47003950600","Bedford County, TN - 47003950600","2021","0.70","",
"47","Tennessee","47003950700","Bedford County, TN - 47003950700","2021","0.77","",
"47","Tennessee","47003950800","Bedford County, TN - 47003950800","2021","0.78","",
"47","Tennessee","47005963000","Benton County, TN - 47005963000","2021","0.71","",
"47","Tennessee","47005963100","Benton County, TN - 47005963100","2021","0.72","",
"47","Tennessee","47005963200","Benton County, TN - 47005963200","2021","0.78","",
"47","Tennessee","47005963300","Benton County, TN - 47005963300","2021","0.73","",
"47","Tennessee","47005963400","Benton County, TN - 47005963400","2021","0.77","",
"47","Tennessee","47007953000","Bledsoe County, TN - 47007953000","2021","0.77","",
"47","Tennessee","47007953100","Bledsoe County, TN - 47007953100","2021","0.77","",
"47","Tennessee","47007953200","Bledsoe County, TN - 47007953200","2021","0.75","",
"47","Tennessee","47009010100","Blount County, TN - 47009010100","2021","0.57","",
"47","Tennessee","47009010200","Blount County, TN - 47009010200","2021","0.62","",
"47","Tennessee","47009010301","Blount County, TN - 47009010301","2021","0.65","",
"47","Tennessee","47009010302","Blount County, TN - 47009010302","2021","0.65","",
"47","Tennessee","47009010400","Blount County, TN - 47009010400","2021","0.72","",
"47","Tennessee","47009010500","Blount County, TN - 47009010500","2021","0.57","",
"47","Tennessee","47009010600","Blount County, TN - 47009010600","2021","0.61","",
