"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"53","Washington","53001950100","Adams County, WA - 53001950100","2021","0.39","",
"53","Washington","53001950200","Adams County, WA - 53001950200","2021","0.40","",
"53","Washington","53001950300","Adams County, WA - 53001950300","2021","0.55","",
"53","Washington","53001950400","Adams County, WA - 53001950400","2021","0.34","",
"53","Washington","53001950500","Adams County, WA - 53001950500","2021","0.53","",
"53","Washington","53003960100","Asotin County, WA - 53003960100","2021","0.46","",
"53","Washington","53003960200","Asotin County, WA - 53003960200","2021","0.38","",
"53","Washington","53003960300","Asotin County, WA - 53003960300","2021","0.28","",
"53","Washington","53003960400","Asotin County, WA - 53003960400","2021","0.42","",
"53","Washington","53003960500","Asotin County, WA - 53003960500","2021","0.40","",
"53","Washington","53003960600","Asotin County, WA - 53003960600","2021","0.42","",
"53","Washington","53005010100","Benton County, WA - 53005010100","2021","0.33","",
"53","Washington","53005010201","Benton County, WA - 53005010201","2021","0.43","",
"53","Washington","53005010202","Benton County, WA - 53005010202","2021","0.37","",
"53","Washington","53005010300","Benton County, WA - 53005010300","2021","0.46","",
"53","Washington","53005010400","Benton County, WA - 53005010400","2021","0.40","",
"53","Washington","53005010500","Benton County, WA - 53005010500","2021","0.32","",
"53","Washington","53005010600","Benton County, WA - 53005010600","2021","0.36","",
"53","Washington","53005010701","Benton County, WA - 53005010701","2021","0.39","",
"53","Washington","53005010703","Benton County, WA - 53005010703","2021","0.60","",
"53","Washington","53005010705","Benton County, WA - 53005010705","2021","0.46","",
"53","Washington","53005010707","Benton County, WA - 53005010707","2021","0.55","",
"53","Washington","53005010708","Benton County, WA - 53005010708","2021","0.36","",
"53","Washington","53005010803","Benton County, WA - 53005010803","2021","0.40","",
"53","Washington","53005010805","Benton County, WA - 53005010805","2021","0.37","",
"53","Washington","53005010807","Benton County, WA - 53005010807","2021","0.38","",
"53","Washington","53005010809","Benton County, WA - 53005010809","2021","0.32","",
"53","Washington","53005010810","Benton County, WA - 53005010810","2021","0.42","",
"53","Washington","53005010811","Benton County, WA - 53005010811","2021","0.47","",
"53","Washington","53005010813","Benton County, WA - 53005010813","2021","0.36","",
"53","Washington","53005010814","Benton County, WA - 53005010814","2021","0.38","",
"53","Washington","53005010901","Benton County, WA - 53005010901","2021","0.30","",
"53","Washington","53005010902","Benton County, WA - 53005010902","2021","0.42","",
"53","Washington","53005011001","Benton County, WA - 53005011001","2021","0.34","",
"53","Washington","53005011002","Benton County, WA - 53005011002","2021","0.38","",
"53","Washington","53005011100","Benton County, WA - 53005011100","2021","0.43","",
"53","Washington","53005011200","Benton County, WA - 53005011200","2021","0.38","",
"53","Washington","53005011300","Benton County, WA - 53005011300","2021","0.26","",
"53","Washington","53005011401","Benton County, WA - 53005011401","2021","0.42","",
"53","Washington","53005011402","Benton County, WA - 53005011402","2021","0.51","",
"53","Washington","53005011501","Benton County, WA - 53005011501","2021","0.43","",
"53","Washington","53005011503","Benton County, WA - 53005011503","2021","0.37","",
"53","Washington","53005011504","Benton County, WA - 53005011504","2021","0.56","",
"53","Washington","53005011600","Benton County, WA - 53005011600","2021","0.47","",
"53","Washington","53005011700","Benton County, WA - 53005011700","2021","0.44","",
"53","Washington","53005011800","Benton County, WA - 53005011800","2021","0.38","",
"53","Washington","53005011900","Benton County, WA - 53005011900","2021","0.42","",
"53","Washington","53005012000","Benton County, WA - 53005012000","2021","0.25","",
"53","Washington","53007960100","Chelan County, WA - 53007960100","2021","0.52","",
"53","Washington","53007960200","Chelan County, WA - 53007960200","2021","0.64","",
"53","Washington","53007960300","Chelan County, WA - 53007960300","2021","0.43","",
"53","Washington","53007960400","Chelan County, WA - 53007960400","2021","0.43","",
"53","Washington","53007960500","Chelan County, WA - 53007960500","2021","0.59","",
"53","Washington","53007960600","Chelan County, WA - 53007960600","2021","0.54","",
"53","Washington","53007960700","Chelan County, WA - 53007960700","2021","0.43","",
"53","Washington","53007960801","Chelan County, WA - 53007960801","2021","0.45","",
"53","Washington","53007960802","Chelan County, WA - 53007960802","2021","0.35","",
"53","Washington","53007961000","Chelan County, WA - 53007961000","2021","0.26","",
"53","Washington","53007961100","Chelan County, WA - 53007961100","2021","0.36","",
"53","Washington","53007961200","Chelan County, WA - 53007961200","2021","0.46","",
"53","Washington","53007961301","Chelan County, WA - 53007961301","2021","0.49","",
"53","Washington","53007961302","Chelan County, WA - 53007961302","2021","0.46","",
"53","Washington","53009000200","Clallam County, WA - 53009000200","2021","0.76","",
"53","Washington","53009000300","Clallam County, WA - 53009000300","2021","0.76","",
"53","Washington","53009000400","Clallam County, WA - 53009000400","2021","0.77","",
"53","Washington","53009000600","Clallam County, WA - 53009000600","2021","0.72","",
"53","Washington","53009000700","Clallam County, WA - 53009000700","2021","0.59","",
"53","Washington","53009000800","Clallam County, WA - 53009000800","2021","0.56","",
"53","Washington","53009000900","Clallam County, WA - 53009000900","2021","0.53","",
"53","Washington","53009001000","Clallam County, WA - 53009001000","2021","0.48","",
"53","Washington","53009001100","Clallam County, WA - 53009001100","2021","0.71","",
"53","Washington","53009001200","Clallam County, WA - 53009001200","2021","0.63","",
"53","Washington","53009001300","Clallam County, WA - 53009001300","2021","0.66","",
"53","Washington","53009001400","Clallam County, WA - 53009001400","2021","0.75","",
"53","Washington","53009001500","Clallam County, WA - 53009001500","2021","0.68","",
"53","Washington","53009001600","Clallam County, WA - 53009001600","2021","0.69","",
"53","Washington","53009001700","Clallam County, WA - 53009001700","2021","0.68","",
"53","Washington","53009001800","Clallam County, WA - 53009001800","2021","0.73","",
"53","Washington","53009001900","Clallam County, WA - 53009001900","2021","0.70","",
"53","Washington","53009002000","Clallam County, WA - 53009002000","2021","0.65","",
"53","Washington","53009002100","Clallam County, WA - 53009002100","2021","0.48","",
"53","Washington","53009002300","Clallam County, WA - 53009002300","2021","0.74","",
"53","Washington","53009940000","Clallam County, WA - 53009940000","2021","0.77","",
"53","Washington","53009990100","Clallam County, WA - 53009990100","2021","0.06","",
"53","Washington","53011040101","Clark County, WA - 53011040101","2021","0.75","",
"53","Washington","53011040102","Clark County, WA - 53011040102","2021","0.77","",
"53","Washington","53011040201","Clark County, WA - 53011040201","2021","0.73","",
"53","Washington","53011040202","Clark County, WA - 53011040202","2021","0.74","",
"53","Washington","53011040203","Clark County, WA - 53011040203","2021","0.72","",
"53","Washington","53011040301","Clark County, WA - 53011040301","2021","0.71","",
"53","Washington","53011040302","Clark County, WA - 53011040302","2021","0.67","",
"53","Washington","53011040403","Clark County, WA - 53011040403","2021","0.71","",
"53","Washington","53011040407","Clark County, WA - 53011040407","2021","0.57","",
"53","Washington","53011040408","Clark County, WA - 53011040408","2021","0.68","",
"53","Washington","53011040409","Clark County, WA - 53011040409","2021","0.68","",
"53","Washington","53011040411","Clark County, WA - 53011040411","2021","0.53","",
"53","Washington","53011040412","Clark County, WA - 53011040412","2021","0.57","",
"53","Washington","53011040413","Clark County, WA - 53011040413","2021","0.66","",
"53","Washington","53011040414","Clark County, WA - 53011040414","2021","0.67","",
"53","Washington","53011040415","Clark County, WA - 53011040415","2021","0.56","",
"53","Washington","53011040416","Clark County, WA - 53011040416","2021","0.72","",
"53","Washington","53011040504","Clark County, WA - 53011040504","2021","0.77","",
"53","Washington","53011040505","Clark County, WA - 53011040505","2021","0.72","",
"53","Washington","53011040507","Clark County, WA - 53011040507","2021","0.57","",
"53","Washington","53011040508","Clark County, WA - 53011040508","2021","0.63","",
"53","Washington","53011040509","Clark County, WA - 53011040509","2021","0.41","",
"53","Washington","53011040510","Clark County, WA - 53011040510","2021","0.74","",
"53","Washington","53011040511","Clark County, WA - 53011040511","2021","0.77","",
"53","Washington","53011040603","Clark County, WA - 53011040603","2021","0.74","",
"53","Washington","53011040604","Clark County, WA - 53011040604","2021","0.68","",
"53","Washington","53011040605","Clark County, WA - 53011040605","2021","0.69","",
"53","Washington","53011040608","Clark County, WA - 53011040608","2021","0.62","",
"53","Washington","53011040609","Clark County, WA - 53011040609","2021","0.58","",
"53","Washington","53011040610","Clark County, WA - 53011040610","2021","0.61","",
"53","Washington","53011040703","Clark County, WA - 53011040703","2021","0.45","",
"53","Washington","53011040706","Clark County, WA - 53011040706","2021","0.45","",
"53","Washington","53011040707","Clark County, WA - 53011040707","2021","0.49","",
"53","Washington","53011040709","Clark County, WA - 53011040709","2021","0.65","",
"53","Washington","53011040710","Clark County, WA - 53011040710","2021","0.68","",
"53","Washington","53011040711","Clark County, WA - 53011040711","2021","0.41","",
"53","Washington","53011040712","Clark County, WA - 53011040712","2021","0.48","",
"53","Washington","53011040803","Clark County, WA - 53011040803","2021","0.57","",
"53","Washington","53011040805","Clark County, WA - 53011040805","2021","0.61","",
"53","Washington","53011040806","Clark County, WA - 53011040806","2021","0.56","",
"53","Washington","53011040808","Clark County, WA - 53011040808","2021","0.51","",
"53","Washington","53011040809","Clark County, WA - 53011040809","2021","0.50","",
"53","Washington","53011040810","Clark County, WA - 53011040810","2021","0.51","",
"53","Washington","53011040904","Clark County, WA - 53011040904","2021","0.56","",
"53","Washington","53011040905","Clark County, WA - 53011040905","2021","0.70","",
"53","Washington","53011040907","Clark County, WA - 53011040907","2021","0.60","",
"53","Washington","53011040908","Clark County, WA - 53011040908","2021","0.56","",
"53","Washington","53011040909","Clark County, WA - 53011040909","2021","0.58","",
"53","Washington","53011040910","Clark County, WA - 53011040910","2021","0.59","",
"53","Washington","53011041003","Clark County, WA - 53011041003","2021","0.58","",
"53","Washington","53011041005","Clark County, WA - 53011041005","2021","0.50","",
"53","Washington","53011041007","Clark County, WA - 53011041007","2021","0.51","",
"53","Washington","53011041008","Clark County, WA - 53011041008","2021","0.54","",
"53","Washington","53011041009","Clark County, WA - 53011041009","2021","0.42","",
"53","Washington","53011041010","Clark County, WA - 53011041010","2021","0.50","",
"53","Washington","53011041011","Clark County, WA - 53011041011","2021","0.54","",
"53","Washington","53011041104","Clark County, WA - 53011041104","2021","0.53","",
"53","Washington","53011041105","Clark County, WA - 53011041105","2021","0.47","",
"53","Washington","53011041107","Clark County, WA - 53011041107","2021","0.55","",
"53","Washington","53011041108","Clark County, WA - 53011041108","2021","0.41","",
"53","Washington","53011041110","Clark County, WA - 53011041110","2021","0.54","",
"53","Washington","53011041111","Clark County, WA - 53011041111","2021","0.42","",
"53","Washington","53011041112","Clark County, WA - 53011041112","2021","0.50","",
"53","Washington","53011041201","Clark County, WA - 53011041201","2021","0.51","",
"53","Washington","53011041203","Clark County, WA - 53011041203","2021","0.53","",
"53","Washington","53011041205","Clark County, WA - 53011041205","2021","0.53","",
"53","Washington","53011041206","Clark County, WA - 53011041206","2021","0.49","",
"53","Washington","53011041309","Clark County, WA - 53011041309","2021","0.56","",
"53","Washington","53011041310","Clark County, WA - 53011041310","2021","0.46","",
"53","Washington","53011041312","Clark County, WA - 53011041312","2021","0.43","",
"53","Washington","53011041313","Clark County, WA - 53011041313","2021","0.43","",
"53","Washington","53011041317","Clark County, WA - 53011041317","2021","0.46","",
"53","Washington","53011041318","Clark County, WA - 53011041318","2021","0.48","",
"53","Washington","53011041319","Clark County, WA - 53011041319","2021","0.50","",
"53","Washington","53011041320","Clark County, WA - 53011041320","2021","0.45","",
"53","Washington","53011041321","Clark County, WA - 53011041321","2021","0.43","",
"53","Washington","53011041322","Clark County, WA - 53011041322","2021","0.42","",
"53","Washington","53011041323","Clark County, WA - 53011041323","2021","0.42","",
"53","Washington","53011041325","Clark County, WA - 53011041325","2021","0.47","",
"53","Washington","53011041326","Clark County, WA - 53011041326","2021","0.59","",
"53","Washington","53011041327","Clark County, WA - 53011041327","2021","0.63","",
"53","Washington","53011041328","Clark County, WA - 53011041328","2021","0.59","",
"53","Washington","53011041329","Clark County, WA - 53011041329","2021","0.41","",
"53","Washington","53011041330","Clark County, WA - 53011041330","2021","0.49","",
"53","Washington","53011041331","Clark County, WA - 53011041331","2021","0.44","",
