"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"44","Rhode Island","44001030100","Bristol County, RI - 44001030100","2021","0.46","",
"44","Rhode Island","44001030200","Bristol County, RI - 44001030200","2021","0.59","",
"44","Rhode Island","44001030300","Bristol County, RI - 44001030300","2021","0.52","",
"44","Rhode Island","44001030400","Bristol County, RI - 44001030400","2021","0.30","",
"44","Rhode Island","44001030500","Bristol County, RI - 44001030500","2021","0.40","",
"44","Rhode Island","44001030601","Bristol County, RI - 44001030601","2021","0.52","",
"44","Rhode Island","44001030602","Bristol County, RI - 44001030602","2021","0.55","",
"44","Rhode Island","44001030700","Bristol County, RI - 44001030700","2021","0.39","",
"44","Rhode Island","44001030800","Bristol County, RI - 44001030800","2021","0.36","",
"44","Rhode Island","44001030901","Bristol County, RI - 44001030901","2021","0.46","",
"44","Rhode Island","44001030902","Bristol County, RI - 44001030902","2021","0.36","",
"44","Rhode Island","44003020101","Kent County, RI - 44003020101","2021","0.63","",
"44","Rhode Island","44003020102","Kent County, RI - 44003020102","2021","0.60","",
"44","Rhode Island","44003020200","Kent County, RI - 44003020200","2021","0.57","",
"44","Rhode Island","44003020300","Kent County, RI - 44003020300","2021","0.53","",
"44","Rhode Island","44003020400","Kent County, RI - 44003020400","2021","0.58","",
"44","Rhode Island","44003020500","Kent County, RI - 44003020500","2021","0.65","",
"44","Rhode Island","44003020601","Kent County, RI - 44003020601","2021","0.71","",
"44","Rhode Island","44003020602","Kent County, RI - 44003020602","2021","0.64","",
"44","Rhode Island","44003020603","Kent County, RI - 44003020603","2021","0.59","",
"44","Rhode Island","44003020604","Kent County, RI - 44003020604","2021","0.64","",
"44","Rhode Island","44003020701","Kent County, RI - 44003020701","2021","0.77","",
"44","Rhode Island","44003020702","Kent County, RI - 44003020702","2021","0.73","",
"44","Rhode Island","44003020703","Kent County, RI - 44003020703","2021","0.69","",
"44","Rhode Island","44003020800","Kent County, RI - 44003020800","2021","0.74","",
"44","Rhode Island","44003020901","Kent County, RI - 44003020901","2021","0.53","",
"44","Rhode Island","44003020903","Kent County, RI - 44003020903","2021","0.73","",
"44","Rhode Island","44003020904","Kent County, RI - 44003020904","2021","0.70","",
"44","Rhode Island","44003021001","Kent County, RI - 44003021001","2021","0.58","",
"44","Rhode Island","44003021002","Kent County, RI - 44003021002","2021","0.49","",
"44","Rhode Island","44003021100","Kent County, RI - 44003021100","2021","0.47","",
