"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"39","Ohio","39001770100","Adams County, OH - 39001770100","2021","0.77","",
"39","Ohio","39001770200","Adams County, OH - 39001770200","2021","0.78","",
"39","Ohio","39001770300","Adams County, OH - 39001770300","2021","0.78","",
"39","Ohio","39001770400","Adams County, OH - 39001770400","2021","0.76","",
"39","Ohio","39001770500","Adams County, OH - 39001770500","2021","0.79","",
"39","Ohio","39001770600","Adams County, OH - 39001770600","2021","0.75","",
"39","Ohio","39003010100","Allen County, OH - 39003010100","2021","0.75","",
"39","Ohio","39003010200","Allen County, OH - 39003010200","2021","0.80","",
"39","Ohio","39003010300","Allen County, OH - 39003010300","2021","0.80","",
"39","Ohio","39003010600","Allen County, OH - 39003010600","2021","0.78","",
"39","Ohio","39003010800","Allen County, OH - 39003010800","2021","0.74","",
"39","Ohio","39003010900","Allen County, OH - 39003010900","2021","0.59","",
"39","Ohio","39003011000","Allen County, OH - 39003011000","2021","0.67","",
"39","Ohio","39003011200","Allen County, OH - 39003011200","2021","0.66","",
"39","Ohio","39003011300","Allen County, OH - 39003011300","2021","0.72","",
"39","Ohio","39003011400","Allen County, OH - 39003011400","2021","0.79","",
"39","Ohio","39003011500","Allen County, OH - 39003011500","2021","0.80","",
"39","Ohio","39003011600","Allen County, OH - 39003011600","2021","0.78","",
"39","Ohio","39003011800","Allen County, OH - 39003011800","2021","0.53","",
"39","Ohio","39003011900","Allen County, OH - 39003011900","2021","0.67","",
"39","Ohio","39003012000","Allen County, OH - 39003012000","2021","0.69","",
"39","Ohio","39003012100","Allen County, OH - 39003012100","2021","0.78","",
"39","Ohio","39003012200","Allen County, OH - 39003012200","2021","0.60","",
"39","Ohio","39003012300","Allen County, OH - 39003012300","2021","0.54","",
"39","Ohio","39003012400","Allen County, OH - 39003012400","2021","0.52","",
"39","Ohio","39003012600","Allen County, OH - 39003012600","2021","0.50","",
"39","Ohio","39003012700","Allen County, OH - 39003012700","2021","0.53","",
"39","Ohio","39003012900","Allen County, OH - 39003012900","2021","0.47","",
"39","Ohio","39003013000","Allen County, OH - 39003013000","2021","0.54","",
"39","Ohio","39003013100","Allen County, OH - 39003013100","2021","0.58","",
"39","Ohio","39003013200","Allen County, OH - 39003013200","2021","0.58","",
