"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"18","Indiana","18001030100","Adams County, IN - 18001030100","2021","0.80","",
"18","Indiana","18001030200","Adams County, IN - 18001030200","2021","0.71","",
"18","Indiana","18001030300","Adams County, IN - 18001030300","2021","0.74","",
"18","Indiana","18001030400","Adams County, IN - 18001030400","2021","0.81","",
"18","Indiana","18001030500","Adams County, IN - 18001030500","2021","0.80","",
"18","Indiana","18001030600","Adams County, IN - 18001030600","2021","0.67","",
"18","Indiana","18001030700","Adams County, IN - 18001030700","2021","0.80","",
"18","Indiana","18003000100","Allen County, IN - 18003000100","2021","0.55","",
"18","Indiana","18003000300","Allen County, IN - 18003000300","2021","0.52","",
"18","Indiana","18003000400","Allen County, IN - 18003000400","2021","0.49","",
"18","Indiana","18003000500","Allen County, IN - 18003000500","2021","0.50","",
"18","Indiana","18003000600","Allen County, IN - 18003000600","2021","0.46","",
"18","Indiana","18003000701","Allen County, IN - 18003000701","2021","0.50","",
"18","Indiana","18003000704","Allen County, IN - 18003000704","2021","0.56","",
"18","Indiana","18003000800","Allen County, IN - 18003000800","2021","0.50","",
"18","Indiana","18003000900","Allen County, IN - 18003000900","2021","0.51","",
"18","Indiana","18003001000","Allen County, IN - 18003001000","2021","0.59","",
"18","Indiana","18003001100","Allen County, IN - 18003001100","2021","0.49","",
"18","Indiana","18003001200","Allen County, IN - 18003001200","2021","0.31","",
"18","Indiana","18003001300","Allen County, IN - 18003001300","2021","0.38","",
"18","Indiana","18003001600","Allen County, IN - 18003001600","2021","0.43","",
"18","Indiana","18003001700","Allen County, IN - 18003001700","2021","0.46","",
"18","Indiana","18003002000","Allen County, IN - 18003002000","2021","0.48","",
"18","Indiana","18003002100","Allen County, IN - 18003002100","2021","0.48","",
"18","Indiana","18003002200","Allen County, IN - 18003002200","2021","0.57","",
"18","Indiana","18003002300","Allen County, IN - 18003002300","2021","0.60","",
"18","Indiana","18003002500","Allen County, IN - 18003002500","2021","0.53","",
"18","Indiana","18003002600","Allen County, IN - 18003002600","2021","0.50","",
"18","Indiana","18003002800","Allen County, IN - 18003002800","2021","0.54","",
"18","Indiana","18003002900","Allen County, IN - 18003002900","2021","0.56","",
"18","Indiana","18003003000","Allen County, IN - 18003003000","2021","0.61","",
"18","Indiana","18003003100","Allen County, IN - 18003003100","2021","0.47","",
"18","Indiana","18003003200","Allen County, IN - 18003003200","2021","0.60","",
"18","Indiana","18003003301","Allen County, IN - 18003003301","2021","0.51","",
"18","Indiana","18003003304","Allen County, IN - 18003003304","2021","0.39","",
"18","Indiana","18003003400","Allen County, IN - 18003003400","2021","0.53","",
"18","Indiana","18003003500","Allen County, IN - 18003003500","2021","0.49","",
"18","Indiana","18003003600","Allen County, IN - 18003003600","2021","0.61","",
"18","Indiana","18003003700","Allen County, IN - 18003003700","2021","0.60","",
"18","Indiana","18003003800","Allen County, IN - 18003003800","2021","0.56","",
"18","Indiana","18003003901","Allen County, IN - 18003003901","2021","0.57","",
"18","Indiana","18003003902","Allen County, IN - 18003003902","2021","0.67","",
"18","Indiana","18003004000","Allen County, IN - 18003004000","2021","0.60","",
