"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"46","South Dakota","46003973600","Aurora County, SD - 46003973600","2021","0.64","",
"46","South Dakota","46005956600","Beadle County, SD - 46005956600","2021","0.67","",
"46","South Dakota","46005956700","Beadle County, SD - 46005956700","2021","0.65","",
"46","South Dakota","46005956800","Beadle County, SD - 46005956800","2021","0.63","",
"46","South Dakota","46005956900","Beadle County, SD - 46005956900","2021","0.41","",
"46","South Dakota","46005957000","Beadle County, SD - 46005957000","2021","0.63","",
"46","South Dakota","46005957100","Beadle County, SD - 46005957100","2021","0.61","",
"46","South Dakota","46007941000","Bennett County, SD - 46007941000","2021","0.55","",
"46","South Dakota","46007941200","Bennett County, SD - 46007941200","2021","0.52","",
"46","South Dakota","46009967600","Bon Homme County, SD - 46009967600","2021","0.68","",
"46","South Dakota","46009967700","Bon Homme County, SD - 46009967700","2021","0.69","",
"46","South Dakota","46011958600","Brookings County, SD - 46011958600","2021","0.70","",
"46","South Dakota","46011958700","Brookings County, SD - 46011958700","2021","0.68","",
"46","South Dakota","46011958802","Brookings County, SD - 46011958802","2021","0.66","",
"46","South Dakota","46011958803","Brookings County, SD - 46011958803","2021","0.61","",
"46","South Dakota","46011958900","Brookings County, SD - 46011958900","2021","0.62","",
"46","South Dakota","46011959000","Brookings County, SD - 46011959000","2021","0.57","",
"46","South Dakota","46013951300","Brown County, SD - 46013951300","2021","0.65","",
"46","South Dakota","46013951400","Brown County, SD - 46013951400","2021","0.66","",
"46","South Dakota","46013951500","Brown County, SD - 46013951500","2021","0.30","",
"46","South Dakota","46013951600","Brown County, SD - 46013951600","2021","0.45","",
"46","South Dakota","46013951700","Brown County, SD - 46013951700","2021","0.62","",
"46","South Dakota","46013951800","Brown County, SD - 46013951800","2021","0.67","",
"46","South Dakota","46013951900","Brown County, SD - 46013951900","2021","0.74","",
"46","South Dakota","46013952000","Brown County, SD - 46013952000","2021","0.70","",
"46","South Dakota","46015973100","Brule County, SD - 46015973100","2021","0.63","",
"46","South Dakota","46015973200","Brule County, SD - 46015973200","2021","0.59","",
"46","South Dakota","46017940200","Buffalo County, SD - 46017940200","2021","0.55","",
"46","South Dakota","46019967600","Butte County, SD - 46019967600","2021","0.33","",
"46","South Dakota","46019967700","Butte County, SD - 46019967700","2021","0.46","",
"46","South Dakota","46021964100","Campbell County, SD - 46021964100","2021","0.57","",
"46","South Dakota","46023940200","Charles Mix County, SD - 46023940200","2021","0.64","",
"46","South Dakota","46023940300","Charles Mix County, SD - 46023940300","2021","0.70","",
"46","South Dakota","46023970100","Charles Mix County, SD - 46023970100","2021","0.61","",
"46","South Dakota","46025955800","Clark County, SD - 46025955800","2021","0.68","",
"46","South Dakota","46027965700","Clay County, SD - 46027965700","2021","0.67","",
"46","South Dakota","46027965800","Clay County, SD - 46027965800","2021","0.72","",
"46","South Dakota","46027965900","Clay County, SD - 46027965900","2021","0.52","",
"46","South Dakota","46029954100","Codington County, SD - 46029954100","2021","0.73","",
"46","South Dakota","46029954301","Codington County, SD - 46029954301","2021","0.53","",
"46","South Dakota","46029954302","Codington County, SD - 46029954302","2021","0.62","",
"46","South Dakota","46029954400","Codington County, SD - 46029954400","2021","0.45","",
"46","South Dakota","46029954501","Codington County, SD - 46029954501","2021","0.57","",
"46","South Dakota","46029954502","Codington County, SD - 46029954502","2021","0.46","",
"46","South Dakota","46029954600","Codington County, SD - 46029954600","2021","0.69","",
"46","South Dakota","46031941000","Corson County, SD - 46031941000","2021","0.49","",
"46","South Dakota","46031941100","Corson County, SD - 46031941100","2021","0.50","",
"46","South Dakota","46033965100","Custer County, SD - 46033965100","2021","0.49","",
"46","South Dakota","46033965200","Custer County, SD - 46033965200","2021","0.56","",
"46","South Dakota","46035962600","Davison County, SD - 46035962600","2021","0.69","",
"46","South Dakota","46035962700","Davison County, SD - 46035962700","2021","0.64","",
"46","South Dakota","46035962800","Davison County, SD - 46035962800","2021","0.57","",
"46","South Dakota","46035962900","Davison County, SD - 46035962900","2021","0.63","",
"46","South Dakota","46037952700","Day County, SD - 46037952700","2021","0.67","",
"46","South Dakota","46037952800","Day County, SD - 46037952800","2021","0.63","",
"46","South Dakota","46037952900","Day County, SD - 46037952900","2021","0.58","",
"46","South Dakota","46039953600","Deuel County, SD - 46039953600","2021","0.69","",
"46","South Dakota","46039953700","Deuel County, SD - 46039953700","2021","0.67","",
"46","South Dakota","46041941500","Dewey County, SD - 46041941500","2021","0.48","",
"46","South Dakota","46041941700","Dewey County, SD - 46041941700","2021","0.44","",
"46","South Dakota","46043969600","Douglas County, SD - 46043969600","2021","0.69","",
"46","South Dakota","46045962100","Edmunds County, SD - 46045962100","2021","0.64","",
"46","South Dakota","46045962200","Edmunds County, SD - 46045962200","2021","0.60","",
"46","South Dakota","46047964100","Fall River County, SD - 46047964100","2021","0.44","",
"46","South Dakota","46047964200","Fall River County, SD - 46047964200","2021","0.50","",
"46","South Dakota","46049961100","Faulk County, SD - 46049961100","2021","0.65","",
"46","South Dakota","46051953100","Grant County, SD - 46051953100","2021","0.73","",
"46","South Dakota","46051953300","Grant County, SD - 46051953300","2021","0.73","",
"46","South Dakota","46053971100","Gregory County, SD - 46053971100","2021","0.64","",
"46","South Dakota","46053971200","Gregory County, SD - 46053971200","2021","0.62","",
"46","South Dakota","46055960100","Haakon County, SD - 46055960100","2021","0.47","",
"46","South Dakota","46057955100","Hamlin County, SD - 46057955100","2021","0.68","",
"46","South Dakota","46057955200","Hamlin County, SD - 46057955200","2021","0.70","",
"46","South Dakota","46059975600","Hand County, SD - 46059975600","2021","0.67","",
"46","South Dakota","46059975700","Hand County, SD - 46059975700","2021","0.68","",
"46","South Dakota","46061964100","Hanson County, SD - 46061964100","2021","0.70","",
"46","South Dakota","46063968700","Harding County, SD - 46063968700","2021","0.37","",
"46","South Dakota","46065977700","Hughes County, SD - 46065977700","2021","0.41","",
"46","South Dakota","46065977800","Hughes County, SD - 46065977800","2021","0.49","",
"46","South Dakota","46065977900","Hughes County, SD - 46065977900","2021","0.40","",
"46","South Dakota","46065978000","Hughes County, SD - 46065978000","2021","0.56","",
"46","South Dakota","46067968600","Hutchinson County, SD - 46067968600","2021","0.70","",
"46","South Dakota","46067968700","Hutchinson County, SD - 46067968700","2021","0.71","",
"46","South Dakota","46067968800","Hutchinson County, SD - 46067968800","2021","0.70","",
"46","South Dakota","46069976700","Hyde County, SD - 46069976700","2021","0.62","",
"46","South Dakota","46071941200","Jackson County, SD - 46071941200","2021","0.47","",
"46","South Dakota","46071961100","Jackson County, SD - 46071961100","2021","0.41","",
"46","South Dakota","46073974100","Jerauld County, SD - 46073974100","2021","0.63","",
"46","South Dakota","46075091600","Jones County, SD - 46075091600","2021","0.51","",
"46","South Dakota","46077958100","Kingsbury County, SD - 46077958100","2021","0.65","",
"46","South Dakota","46077958200","Kingsbury County, SD - 46077958200","2021","0.69","",
"46","South Dakota","46079960100","Lake County, SD - 46079960100","2021","0.68","",
"46","South Dakota","46079960200","Lake County, SD - 46079960200","2021","0.63","",
"46","South Dakota","46079960300","Lake County, SD - 46079960300","2021","0.63","",
"46","South Dakota","46081966100","Lawrence County, SD - 46081966100","2021","0.59","",
"46","South Dakota","46081966200","Lawrence County, SD - 46081966200","2021","0.44","",
"46","South Dakota","46081966301","Lawrence County, SD - 46081966301","2021","0.53","",
"46","South Dakota","46081966302","Lawrence County, SD - 46081966302","2021","0.65","",
"46","South Dakota","46081966600","Lawrence County, SD - 46081966600","2021","0.63","",
"46","South Dakota","46083010101","Lincoln County, SD - 46083010101","2021","0.63","",
"46","South Dakota","46083010102","Lincoln County, SD - 46083010102","2021","0.55","",
"46","South Dakota","46083010103","Lincoln County, SD - 46083010103","2021","0.52","",
