"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"11","District of Columbia","11001000100","District of Columbia, DC - 11001000100","2021","0.48","",
"11","District of Columbia","11001000201","District of Columbia, DC - 11001000201","2021","0.48","",
"11","District of Columbia","11001000202","District of Columbia, DC - 11001000202","2021","0.35","",
"11","District of Columbia","11001000300","District of Columbia, DC - 11001000300","2021","0.55","",
"11","District of Columbia","11001000400","District of Columbia, DC - 11001000400","2021","0.59","",
"11","District of Columbia","11001000501","District of Columbia, DC - 11001000501","2021","0.60","",
"11","District of Columbia","11001000502","District of Columbia, DC - 11001000502","2021","0.56","",
"11","District of Columbia","11001000600","District of Columbia, DC - 11001000600","2021","0.59","",
"11","District of Columbia","11001000701","District of Columbia, DC - 11001000701","2021","0.54","",
"11","District of Columbia","11001000702","District of Columbia, DC - 11001000702","2021","0.50","",
"11","District of Columbia","11001000801","District of Columbia, DC - 11001000801","2021","0.64","",
"11","District of Columbia","11001000802","District of Columbia, DC - 11001000802","2021","0.55","",
"11","District of Columbia","11001000901","District of Columbia, DC - 11001000901","2021","0.63","",
"11","District of Columbia","11001000902","District of Columbia, DC - 11001000902","2021","0.64","",
"11","District of Columbia","11001001001","District of Columbia, DC - 11001001001","2021","0.58","",
"11","District of Columbia","11001001002","District of Columbia, DC - 11001001002","2021","0.54","",
"11","District of Columbia","11001001100","District of Columbia, DC - 11001001100","2021","0.56","",
"11","District of Columbia","11001001200","District of Columbia, DC - 11001001200","2021","0.55","",
"11","District of Columbia","11001001301","District of Columbia, DC - 11001001301","2021","0.74","",
"11","District of Columbia","11001001302","District of Columbia, DC - 11001001302","2021","0.66","",
"11","District of Columbia","11001001401","District of Columbia, DC - 11001001401","2021","0.59","",
"11","District of Columbia","11001001402","District of Columbia, DC - 11001001402","2021","0.62","",
"11","District of Columbia","11001001500","District of Columbia, DC - 11001001500","2021","0.72","",
"11","District of Columbia","11001001600","District of Columbia, DC - 11001001600","2021","0.65","",
"11","District of Columbia","11001001702","District of Columbia, DC - 11001001702","2021","0.48","",
"11","District of Columbia","11001001803","District of Columbia, DC - 11001001803","2021","0.71","",
"11","District of Columbia","11001001804","District of Columbia, DC - 11001001804","2021","0.49","",
"11","District of Columbia","11001001901","District of Columbia, DC - 11001001901","2021","0.41","",
"11","District of Columbia","11001001902","District of Columbia, DC - 11001001902","2021","0.51","",
"11","District of Columbia","11001002001","District of Columbia, DC - 11001002001","2021","0.58","",
"11","District of Columbia","11001002002","District of Columbia, DC - 11001002002","2021","0.47","",
"11","District of Columbia","11001002101","District of Columbia, DC - 11001002101","2021","0.37","",
"11","District of Columbia","11001002102","District of Columbia, DC - 11001002102","2021","0.40","",
"11","District of Columbia","11001002201","District of Columbia, DC - 11001002201","2021","0.36","",
"11","District of Columbia","11001002202","District of Columbia, DC - 11001002202","2021","0.54","",
"11","District of Columbia","11001002301","District of Columbia, DC - 11001002301","2021","0.41","",
"11","District of Columbia","11001002302","District of Columbia, DC - 11001002302","2021","0.59","",
"11","District of Columbia","11001002400","District of Columbia, DC - 11001002400","2021","0.37","",
"11","District of Columbia","11001002501","District of Columbia, DC - 11001002501","2021","0.39","",
"11","District of Columbia","11001002502","District of Columbia, DC - 11001002502","2021","0.37","",
"11","District of Columbia","11001002600","District of Columbia, DC - 11001002600","2021","0.71","",
"11","District of Columbia","11001002701","District of Columbia, DC - 11001002701","2021","0.56","",
"11","District of Columbia","11001002702","District of Columbia, DC - 11001002702","2021","0.48","",
"11","District of Columbia","11001002801","District of Columbia, DC - 11001002801","2021","0.31","",
"11","District of Columbia","11001002802","District of Columbia, DC - 11001002802","2021","0.26","",
"11","District of Columbia","11001002900","District of Columbia, DC - 11001002900","2021","0.27","",
"11","District of Columbia","11001003000","District of Columbia, DC - 11001003000","2021","0.30","",
"11","District of Columbia","11001003100","District of Columbia, DC - 11001003100","2021","0.29","",
"11","District of Columbia","11001003200","District of Columbia, DC - 11001003200","2021","0.29","",
"11","District of Columbia","11001003301","District of Columbia, DC - 11001003301","2021","0.40","",
"11","District of Columbia","11001003302","District of Columbia, DC - 11001003302","2021","0.27","",
"11","District of Columbia","11001003400","District of Columbia, DC - 11001003400","2021","0.34","",
"11","District of Columbia","11001003500","District of Columbia, DC - 11001003500","2021","0.31","",
"11","District of Columbia","11001003600","District of Columbia, DC - 11001003600","2021","0.29","",
"11","District of Columbia","11001003700","District of Columbia, DC - 11001003700","2021","0.35","",
"11","District of Columbia","11001003800","District of Columbia, DC - 11001003800","2021","0.27","",
"11","District of Columbia","11001003900","District of Columbia, DC - 11001003900","2021","0.55","",
"11","District of Columbia","11001004001","District of Columbia, DC - 11001004001","2021","0.44","",
"11","District of Columbia","11001004002","District of Columbia, DC - 11001004002","2021","0.28","",
"11","District of Columbia","11001004100","District of Columbia, DC - 11001004100","2021","0.53","",
"11","District of Columbia","11001004201","District of Columbia, DC - 11001004201","2021","0.27","",
"11","District of Columbia","11001004202","District of Columbia, DC - 11001004202","2021","0.26","",
"11","District of Columbia","11001004300","District of Columbia, DC - 11001004300","2021","0.28","",
"11","District of Columbia","11001004400","District of Columbia, DC - 11001004400","2021","0.25","",
"11","District of Columbia","11001004600","District of Columbia, DC - 11001004600","2021","0.32","",
"11","District of Columbia","11001004701","District of Columbia, DC - 11001004701","2021","0.29","",
"11","District of Columbia","11001004702","District of Columbia, DC - 11001004702","2021","0.23","",
"11","District of Columbia","11001004801","District of Columbia, DC - 11001004801","2021","0.30","",
"11","District of Columbia","11001004802","District of Columbia, DC - 11001004802","2021","0.31","",
"11","District of Columbia","11001004901","District of Columbia, DC - 11001004901","2021","0.29","",
"11","District of Columbia","11001004902","District of Columbia, DC - 11001004902","2021","0.20","",
"11","District of Columbia","11001005001","District of Columbia, DC - 11001005001","2021","0.29","",
