"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"30","Montana","30001000100","Beaverhead County, MT - 30001000100","2021","0.44","",
"30","Montana","30001000200","Beaverhead County, MT - 30001000200","2021","0.38","",
"30","Montana","30001000300","Beaverhead County, MT - 30001000300","2021","0.52","",
"30","Montana","30003000100","Big Horn County, MT - 30003000100","2021","0.42","",
"30","Montana","30003940400","Big Horn County, MT - 30003940400","2021","0.42","",
"30","Montana","30003940500","Big Horn County, MT - 30003940500","2021","0.47","",
"30","Montana","30003940600","Big Horn County, MT - 30003940600","2021","0.43","",
"30","Montana","30003940700","Big Horn County, MT - 30003940700","2021","0.55","",
"30","Montana","30005000100","Blaine County, MT - 30005000100","2021","0.38","",
"30","Montana","30005000200","Blaine County, MT - 30005000200","2021","0.41","",
"30","Montana","30005940100","Blaine County, MT - 30005940100","2021","0.38","",
"30","Montana","30005940200","Blaine County, MT - 30005940200","2021","0.42","",
"30","Montana","30007000100","Broadwater County, MT - 30007000100","2021","0.40","",
"30","Montana","30007000200","Broadwater County, MT - 30007000200","2021","0.41","",
"30","Montana","30009000100","Carbon County, MT - 30009000100","2021","0.48","",
"30","Montana","30009000200","Carbon County, MT - 30009000200","2021","0.41","",
"30","Montana","30009000300","Carbon County, MT - 30009000300","2021","0.58","",
"30","Montana","30009000400","Carbon County, MT - 30009000400","2021","0.45","",
"30","Montana","30009000500","Carbon County, MT - 30009000500","2021","0.33","",
"30","Montana","30011000300","Carter County, MT - 30011000300","2021","0.36","",
"30","Montana","30013000100","Cascade County, MT - 30013000100","2021","0.36","",
"30","Montana","30013000200","Cascade County, MT - 30013000200","2021","0.48","",
"30","Montana","30013000300","Cascade County, MT - 30013000300","2021","0.39","",
"30","Montana","30013000400","Cascade County, MT - 30013000400","2021","0.33","",
"30","Montana","30013000700","Cascade County, MT - 30013000700","2021","0.31","",
"30","Montana","30013000800","Cascade County, MT - 30013000800","2021","0.40","",
"30","Montana","30013000900","Cascade County, MT - 30013000900","2021","0.44","",
"30","Montana","30013001000","Cascade County, MT - 30013001000","2021","0.43","",
"30","Montana","30013001100","Cascade County, MT - 30013001100","2021","0.43","",
"30","Montana","30013001200","Cascade County, MT - 30013001200","2021","0.35","",
"30","Montana","30013001600","Cascade County, MT - 30013001600","2021","0.37","",
"30","Montana","30013001700","Cascade County, MT - 30013001700","2021","0.44","",
"30","Montana","30013001800","Cascade County, MT - 30013001800","2021","0.38","",
"30","Montana","30013001900","Cascade County, MT - 30013001900","2021","0.41","",
"30","Montana","30013002100","Cascade County, MT - 30013002100","2021","0.44","",
"30","Montana","30013002200","Cascade County, MT - 30013002200","2021","0.47","",
"30","Montana","30013002300","Cascade County, MT - 30013002300","2021","0.44","",
"30","Montana","30013010100","Cascade County, MT - 30013010100","2021","0.44","",
"30","Montana","30013010400","Cascade County, MT - 30013010400","2021","0.53","",
"30","Montana","30013010600","Cascade County, MT - 30013010600","2021","0.55","",
"30","Montana","30013010700","Cascade County, MT - 30013010700","2021","0.48","",
"30","Montana","30013010800","Cascade County, MT - 30013010800","2021","0.33","",
"30","Montana","30015010200","Chouteau County, MT - 30015010200","2021","0.44","",
"30","Montana","30015010300","Chouteau County, MT - 30015010300","2021","0.46","",
"30","Montana","30017961300","Custer County, MT - 30017961300","2021","0.31","",
"30","Montana","30017961500","Custer County, MT - 30017961500","2021","0.38","",
"30","Montana","30017961600","Custer County, MT - 30017961600","2021","0.44","",
"30","Montana","30017961800","Custer County, MT - 30017961800","2021","0.41","",
"30","Montana","30017961900","Custer County, MT - 30017961900","2021","0.41","",
"30","Montana","30017962000","Custer County, MT - 30017962000","2021","0.35","",
"30","Montana","30019020300","Daniels County, MT - 30019020300","2021","0.47","",
"30","Montana","30021000100","Dawson County, MT - 30021000100","2021","0.36","",
"30","Montana","30021000200","Dawson County, MT - 30021000200","2021","0.39","",
"30","Montana","30021000300","Dawson County, MT - 30021000300","2021","0.26","",
"30","Montana","30023000300","Deer Lodge County, MT - 30023000300","2021","0.43","",
"30","Montana","30023000400","Deer Lodge County, MT - 30023000400","2021","0.47","",
"30","Montana","30023000500","Deer Lodge County, MT - 30023000500","2021","0.49","",
"30","Montana","30025000100","Fallon County, MT - 30025000100","2021","0.32","",
"30","Montana","30027030100","Fergus County, MT - 30027030100","2021","0.48","",
"30","Montana","30027030200","Fergus County, MT - 30027030200","2021","0.49","",
"30","Montana","30029000100","Flathead County, MT - 30029000100","2021","0.63","",
"30","Montana","30029000201","Flathead County, MT - 30029000201","2021","0.70","",
"30","Montana","30029000202","Flathead County, MT - 30029000202","2021","0.62","",
"30","Montana","30029000203","Flathead County, MT - 30029000203","2021","0.55","",
"30","Montana","30029000300","Flathead County, MT - 30029000300","2021","0.68","",
"30","Montana","30029000401","Flathead County, MT - 30029000401","2021","0.66","",
"30","Montana","30029000402","Flathead County, MT - 30029000402","2021","0.66","",
"30","Montana","30029000601","Flathead County, MT - 30029000601","2021","0.63","",
"30","Montana","30029000602","Flathead County, MT - 30029000602","2021","0.66","",
"30","Montana","30029000700","Flathead County, MT - 30029000700","2021","0.58","",
"30","Montana","30029000800","Flathead County, MT - 30029000800","2021","0.60","",
"30","Montana","30029000900","Flathead County, MT - 30029000900","2021","0.50","",
"30","Montana","30029001000","Flathead County, MT - 30029001000","2021","0.36","",
"30","Montana","30029001100","Flathead County, MT - 30029001100","2021","0.49","",
"30","Montana","30029001200","Flathead County, MT - 30029001200","2021","0.62","",
"30","Montana","30029001301","Flathead County, MT - 30029001301","2021","0.51","",
"30","Montana","30029001302","Flathead County, MT - 30029001302","2021","0.68","",
"30","Montana","30029001400","Flathead County, MT - 30029001400","2021","0.48","",
"30","Montana","30029001700","Flathead County, MT - 30029001700","2021","0.63","",
"30","Montana","30031000101","Gallatin County, MT - 30031000101","2021","0.53","",
"30","Montana","30031000102","Gallatin County, MT - 30031000102","2021","0.54","",
"30","Montana","30031000103","Gallatin County, MT - 30031000103","2021","0.37","",
"30","Montana","30031000200","Gallatin County, MT - 30031000200","2021","0.57","",
"30","Montana","30031000300","Gallatin County, MT - 30031000300","2021","0.41","",
"30","Montana","30031000400","Gallatin County, MT - 30031000400","2021","0.56","",
"30","Montana","30031000501","Gallatin County, MT - 30031000501","2021","0.64","",
"30","Montana","30031000502","Gallatin County, MT - 30031000502","2021","0.66","",
"30","Montana","30031000503","Gallatin County, MT - 30031000503","2021","0.55","",
"30","Montana","30031000504","Gallatin County, MT - 30031000504","2021","0.61","",
"30","Montana","30031000600","Gallatin County, MT - 30031000600","2021","0.44","",
"30","Montana","30031000701","Gallatin County, MT - 30031000701","2021","0.45","",
"30","Montana","30031000702","Gallatin County, MT - 30031000702","2021","0.47","",
"30","Montana","30031000800","Gallatin County, MT - 30031000800","2021","0.49","",
"30","Montana","30031000900","Gallatin County, MT - 30031000900","2021","0.40","",
"30","Montana","30031001001","Gallatin County, MT - 30031001001","2021","0.62","",
"30","Montana","30031001002","Gallatin County, MT - 30031001002","2021","0.55","",
"30","Montana","30031001101","Gallatin County, MT - 30031001101","2021","0.43","",
"30","Montana","30031001102","Gallatin County, MT - 30031001102","2021","0.68","",
"30","Montana","30031001200","Gallatin County, MT - 30031001200","2021","0.59","",
"30","Montana","30031001500","Gallatin County, MT - 30031001500","2021","0.53","",
"30","Montana","30031001600","Gallatin County, MT - 30031001600","2021","0.56","",
"30","Montana","30033000100","Garfield County, MT - 30033000100","2021","0.27","",
"30","Montana","30035940200","Glacier County, MT - 30035940200","2021","0.48","",
"30","Montana","30035940400","Glacier County, MT - 30035940400","2021","0.50","",
"30","Montana","30035976000","Glacier County, MT - 30035976000","2021","0.44","",
"30","Montana","30035980000","Glacier County, MT - 30035980000","2021","0.49","",
"30","Montana","30037000100","Golden Valley County, MT - 30037000100","2021","0.36","",
"30","Montana","30039961700","Granite County, MT - 30039961700","2021","0.53","",
"30","Montana","30041040100","Hill County, MT - 30041040100","2021","0.41","",
"30","Montana","30041040200","Hill County, MT - 30041040200","2021","0.43","",
"30","Montana","30041040300","Hill County, MT - 30041040300","2021","0.38","",
"30","Montana","30041040400","Hill County, MT - 30041040400","2021","0.42","",
"30","Montana","30041040500","Hill County, MT - 30041040500","2021","0.40","",
"30","Montana","30041940300","Hill County, MT - 30041940300","2021","0.54","",
"30","Montana","30043962201","Jefferson County, MT - 30043962201","2021","0.48","",
