"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"33","New Hampshire","33001965100","Belknap County, NH - 33001965100","2021","0.75","",
"33","New Hampshire","33001965200","Belknap County, NH - 33001965200","2021","0.52","",
"33","New Hampshire","33001965300","Belknap County, NH - 33001965300","2021","0.73","",
"33","New Hampshire","33001965400","Belknap County, NH - 33001965400","2021","0.77","",
"33","New Hampshire","33001965598","Belknap County, NH - 33001965598","2021","0.72","",
"33","New Hampshire","33001965600","Belknap County, NH - 33001965600","2021","0.79","",
"33","New Hampshire","33001965700","Belknap County, NH - 33001965700","2021","0.76","",
"33","New Hampshire","33001965800","Belknap County, NH - 33001965800","2021","0.74","",
"33","New Hampshire","33001965900","Belknap County, NH - 33001965900","2021","0.65","",
"33","New Hampshire","33001966000","Belknap County, NH - 33001966000","2021","0.61","",
"33","New Hampshire","33001966100","Belknap County, NH - 33001966100","2021","0.60","",
"33","New Hampshire","33001966200","Belknap County, NH - 33001966200","2021","0.62","",
"33","New Hampshire","33001966401","Belknap County, NH - 33001966401","2021","0.31","",
"33","New Hampshire","33001966402","Belknap County, NH - 33001966402","2021","0.79","",
"33","New Hampshire","33001966500","Belknap County, NH - 33001966500","2021","0.66","",
"33","New Hampshire","33003955100","Carroll County, NH - 33003955100","2021","0.79","",
"33","New Hampshire","33003955300","Carroll County, NH - 33003955300","2021","0.80","",
"33","New Hampshire","33003955400","Carroll County, NH - 33003955400","2021","0.75","",
"33","New Hampshire","33003955500","Carroll County, NH - 33003955500","2021","0.77","",
"33","New Hampshire","33003955600","Carroll County, NH - 33003955600","2021","0.80","",
"33","New Hampshire","33003955800","Carroll County, NH - 33003955800","2021","0.76","",
"33","New Hampshire","33003955900","Carroll County, NH - 33003955900","2021","0.76","",
"33","New Hampshire","33003956000","Carroll County, NH - 33003956000","2021","0.74","",
"33","New Hampshire","33003956100","Carroll County, NH - 33003956100","2021","0.70","",
"33","New Hampshire","33003956300","Carroll County, NH - 33003956300","2021","0.69","",
"33","New Hampshire","33003956400","Carroll County, NH - 33003956400","2021","0.70","",
"33","New Hampshire","33005970100","Cheshire County, NH - 33005970100","2021","0.80","",
"33","New Hampshire","33005970200","Cheshire County, NH - 33005970200","2021","0.75","",
"33","New Hampshire","33005970400","Cheshire County, NH - 33005970400","2021","0.80","",
"33","New Hampshire","33005970500","Cheshire County, NH - 33005970500","2021","0.77","",
"33","New Hampshire","33005970600","Cheshire County, NH - 33005970600","2021","0.74","",
"33","New Hampshire","33005970700","Cheshire County, NH - 33005970700","2021","0.79","",
"33","New Hampshire","33005970800","Cheshire County, NH - 33005970800","2021","0.80","",
"33","New Hampshire","33005970900","Cheshire County, NH - 33005970900","2021","0.77","",
"33","New Hampshire","33005971000","Cheshire County, NH - 33005971000","2021","0.77","",
"33","New Hampshire","33005971100","Cheshire County, NH - 33005971100","2021","0.75","",
"33","New Hampshire","33005971300","Cheshire County, NH - 33005971300","2021","0.63","",
"33","New Hampshire","33005971401","Cheshire County, NH - 33005971401","2021","0.73","",
"33","New Hampshire","33005971402","Cheshire County, NH - 33005971402","2021","0.76","",
"33","New Hampshire","33005971500","Cheshire County, NH - 33005971500","2021","0.77","",
"33","New Hampshire","33005971600","Cheshire County, NH - 33005971600","2021","0.74","",
"33","New Hampshire","33005971700","Cheshire County, NH - 33005971700","2021","0.79","",
"33","New Hampshire","33007950100","Coos County, NH - 33007950100","2021","0.79","",
"33","New Hampshire","33007950200","Coos County, NH - 33007950200","2021","0.79","",
"33","New Hampshire","33007950300","Coos County, NH - 33007950300","2021","0.79","",
"33","New Hampshire","33007950400","Coos County, NH - 33007950400","2021","0.81","",
"33","New Hampshire","33007950500","Coos County, NH - 33007950500","2021","0.79","",
"33","New Hampshire","33007950600","Coos County, NH - 33007950600","2021","0.72","",
"33","New Hampshire","33007950700","Coos County, NH - 33007950700","2021","0.77","",
"33","New Hampshire","33007950800","Coos County, NH - 33007950800","2021","0.81","",
"33","New Hampshire","33007950900","Coos County, NH - 33007950900","2021","0.78","",
"33","New Hampshire","33007951000","Coos County, NH - 33007951000","2021","0.78","",
"33","New Hampshire","33007951100","Coos County, NH - 33007951100","2021","0.78","",
"33","New Hampshire","33009960100","Grafton County, NH - 33009960100","2021","0.74","",
"33","New Hampshire","33009960200","Grafton County, NH - 33009960200","2021","0.76","",
"33","New Hampshire","33009960300","Grafton County, NH - 33009960300","2021","0.77","",
"33","New Hampshire","33009960400","Grafton County, NH - 33009960400","2021","0.77","",
"33","New Hampshire","33009960500","Grafton County, NH - 33009960500","2021","0.79","",
"33","New Hampshire","33009960600","Grafton County, NH - 33009960600","2021","0.76","",
"33","New Hampshire","33009960700","Grafton County, NH - 33009960700","2021","0.78","",
"33","New Hampshire","33009960800","Grafton County, NH - 33009960800","2021","0.79","",
"33","New Hampshire","33009960900","Grafton County, NH - 33009960900","2021","0.79","",
"33","New Hampshire","33009961000","Grafton County, NH - 33009961000","2021","0.78","",
"33","New Hampshire","33009961100","Grafton County, NH - 33009961100","2021","0.72","",
"33","New Hampshire","33009961200","Grafton County, NH - 33009961200","2021","0.72","",
"33","New Hampshire","33009961300","Grafton County, NH - 33009961300","2021","0.78","",
"33","New Hampshire","33009961400","Grafton County, NH - 33009961400","2021","0.76","",
"33","New Hampshire","33009961500","Grafton County, NH - 33009961500","2021","0.75","",
"33","New Hampshire","33009961601","Grafton County, NH - 33009961601","2021","0.78","",
"33","New Hampshire","33009961602","Grafton County, NH - 33009961602","2021","0.66","",
"33","New Hampshire","33009961700","Grafton County, NH - 33009961700","2021","0.72","",
"33","New Hampshire","33009961800","Grafton County, NH - 33009961800","2021","0.75","",
"33","New Hampshire","33011000101","Hillsborough County, NH - 33011000101","2021","0.65","",
"33","New Hampshire","33011000102","Hillsborough County, NH - 33011000102","2021","0.66","",
"33","New Hampshire","33011000202","Hillsborough County, NH - 33011000202","2021","0.63","",
"33","New Hampshire","33011000203","Hillsborough County, NH - 33011000203","2021","0.56","",
"33","New Hampshire","33011000204","Hillsborough County, NH - 33011000204","2021","0.74","",
"33","New Hampshire","33011000300","Hillsborough County, NH - 33011000300","2021","0.39","",
"33","New Hampshire","33011000600","Hillsborough County, NH - 33011000600","2021","0.41","",
"33","New Hampshire","33011000700","Hillsborough County, NH - 33011000700","2021","0.58","",
"33","New Hampshire","33011000800","Hillsborough County, NH - 33011000800","2021","0.46","",
"33","New Hampshire","33011000901","Hillsborough County, NH - 33011000901","2021","0.64","",
"33","New Hampshire","33011000902","Hillsborough County, NH - 33011000902","2021","0.70","",
"33","New Hampshire","33011001000","Hillsborough County, NH - 33011001000","2021","0.63","",
"33","New Hampshire","33011001100","Hillsborough County, NH - 33011001100","2021","0.63","",
"33","New Hampshire","33011001200","Hillsborough County, NH - 33011001200","2021","0.57","",
"33","New Hampshire","33011001300","Hillsborough County, NH - 33011001300","2021","0.42","",
"33","New Hampshire","33011001400","Hillsborough County, NH - 33011001400","2021","0.39","",
"33","New Hampshire","33011001500","Hillsborough County, NH - 33011001500","2021","0.34","",
"33","New Hampshire","33011001600","Hillsborough County, NH - 33011001600","2021","0.37","",
"33","New Hampshire","33011001700","Hillsborough County, NH - 33011001700","2021","0.45","",
"33","New Hampshire","33011001800","Hillsborough County, NH - 33011001800","2021","0.48","",
"33","New Hampshire","33011001900","Hillsborough County, NH - 33011001900","2021","0.38","",
"33","New Hampshire","33011002000","Hillsborough County, NH - 33011002000","2021","0.41","",
"33","New Hampshire","33011002100","Hillsborough County, NH - 33011002100","2021","0.49","",
"33","New Hampshire","33011002200","Hillsborough County, NH - 33011002200","2021","0.62","",
"33","New Hampshire","33011002300","Hillsborough County, NH - 33011002300","2021","0.56","",
"33","New Hampshire","33011002400","Hillsborough County, NH - 33011002400","2021","0.62","",
"33","New Hampshire","33011002500","Hillsborough County, NH - 33011002500","2021","0.52","",
"33","New Hampshire","33011002600","Hillsborough County, NH - 33011002600","2021","0.64","",
"33","New Hampshire","33011002701","Hillsborough County, NH - 33011002701","2021","0.78","",
